id,name,dept,salary,age
3,Sara,HR,51267.74,26
12,Sara,Engineering,79755.94,35
15,Yassine,HR,64654.26,37
18,Aicha,Finance,76515.80,26
21,Omar,Sales,74070.59,36
25,Alex,Finance,52027.42,33
29,Hiba,HR,56679.55,31
47,Omar,Engineering,63511.84,32
68,Alex,Sales,54999.53,26
69,Omar,Engineering,52290.51,24
79,Sara,Engineering,62504.73,21
87,Mariam,Engineering,78395.44,38
89,Amina,Marketing,67810.67,37
103,Alex,Finance,76110.15,29
108,Aicha,Engineering,60013.68,23
109,Alex,HR,56984.79,38
114,Amina,Marketing,71815.41,31
115,Mariam,Engineering,58863.57,20
117,Aicha,HR,76948.63,27
120,Mohammed,Sales,62651.03,25
123,Mohammed,Finance,52144.46,35
136,Vanessa,HR,60577.72,25
138,Amina,HR,67947.07,39
144,Sara,Marketing,69742.48,20
145,Mariam,HR,67972.00,23
154,Amina,HR,72896.61,32
159,Vanessa,Marketing,79873.99,39
161,Alex,Sales,67361.34,35
168,Vanessa,Finance,65956.92,22
172,Mariam,Engineering,63099.64,34
176,Mohammed,Finance,54612.57,24
177,Hiba,HR,73547.23,32
185,Alex,Marketing,78267.85,20
186,Omar,Finance,68530.73,30
191,Hiba,Marketing,70997.19,24
195,Omar,HR,74313.93,33
199,Mariam,Finance,52032.87,35
200,Omar,Marketing,52316.90,20
202,Mohammed,Marketing,50822.99,37
208,Vanessa,Marketing,57469.54,37
210,Yassine,HR,50008.05,33
215,Aicha,Sales,61277.93,23
216,Alex,Marketing,67581.19,24
218,Vanessa,Engineering,56476.10,34
219,Yassine,Engineering,64161.23,34
221,Omar,Finance,75887.19,37
222,Mariam,Marketing,53840.13,26
224,Omar,HR,62801.89,32
226,Mariam,HR,79499.42,27
229,Alex,Sales,51933.23,35
235,Yassine,Sales,60491.71,28
239,Sara,HR,63206.91,33
246,Mohammed,Marketing,65710.32,31
247,Yassine,Marketing,58202.66,22
266,Yassine,Finance,69370.16,24
278,Amina,Engineering,60060.74,25
279,Yassine,Marketing,73355.32,28
283,Mohammed,Sales,74370.72,24
294,Mohammed,Sales,54125.26,36
314,Vanessa,Engineering,67044.64,20
318,Yassine,Finance,64409.25,32
321,Sara,Marketing,64661.19,32
337,Vanessa,Sales,76475.70,29
338,Alex,Finance,53220.66,27
339,Omar,Sales,68796.13,37
340,Yassine,Engineering,76348.97,28
341,Yassine,Finance,60008.03,39
349,Sara,Sales,57255.00,35
351,Omar,Sales,52384.22,27
352,Omar,Sales,73353.09,34
353,Mariam,Sales,57604.97,29
359,Omar,HR,56390.83,36
369,Sara,HR,71349.31,38
370,Vanessa,Finance,67335.58,34
375,Amina,Finance,76041.34,31
378,Aicha,Marketing,72736.59,38
379,Yassine,Engineering,63055.29,21
383,Sara,Finance,56233.36,31
384,Mohammed,Engineering,63417.31,28
388,Amina,Marketing,78556.91,23
393,Mariam,Marketing,53213.63,37
400,Vanessa,Sales,76233.94,23
405,Mohammed,Marketing,63652.25,39
411,Omar,Sales,67405.70,28
413,Alex,Sales,77647.26,31
414,Mohammed,Engineering,74503.41,36
415,Sara,Marketing,64775.30,39
421,Hiba,HR,70907.95,20
423,Mariam,Engineering,50825.19,38
429,Amina,Finance,65721.27,25
433,Sara,Engineering,70701.05,34
435,Amina,Engineering,60618.58,38
439,Aicha,Finance,55757.89,32
440,Alex,Marketing,51881.00,27
445,Mohammed,HR,56654.02,21
448,Hiba,Sales,65787.87,28
449,Aicha,Marketing,76092.56,28
453,Yassine,Sales,53890.77,25
462,Hiba,Sales,60747.50,25
465,Alex,Finance,71506.08,29
471,Omar,HR,66804.75,35
472,Sara,Finance,62456.94,29
478,Omar,Marketing,53714.21,23
498,Aicha,Finance,69746.38,23
502,Amina,Marketing,73456.67,24
504,Vanessa,HR,66957.67,37
506,Alex,HR,58608.13,24
514,Hiba,Finance,58480.65,27
518,Mohammed,Marketing,63326.10,23
535,Alex,HR,75985.30,24
540,Hiba,Sales,52260.51,24
556,Yassine,HR,67725.81,38
559,Vanessa,Engineering,67298.74,33
576,Alex,Finance,57648.00,23
578,Yassine,Sales,59134.26,28
579,Omar,Engineering,76746.14,38
583,Yassine,Marketing,71191.82,31
585,Omar,Finance,74457.42,37
587,Mariam,Sales,67309.36,22
591,Sara,Finance,64361.76,39
592,Amina,Sales,78055.61,26
594,Amina,Sales,53566.04,30
596,Hiba,Engineering,64075.75,26
597,Aicha,Sales,57033.90,24
599,Mohammed,HR,79218.69,38
607,Omar,Finance,57088.04,29
618,Mohammed,Sales,64609.37,26
624,Hiba,Marketing,68846.83,31
627,Hiba,Engineering,56963.39,35
628,Alex,Finance,76212.64,22
640,Hiba,Marketing,51744.85,34
645,Mohammed,Finance,63398.59,22
648,Yassine,Engineering,71903.06,24
653,Amina,HR,63303.68,28
656,Omar,HR,57796.53,21
661,Amina,Finance,72388.87,28
666,Vanessa,HR,57472.82,37
667,Vanessa,HR,74416.99,37
673,Sara,Marketing,69394.71,29
674,Sara,Marketing,67827.89,33
676,Mariam,Engineering,76479.79,38
677,Omar,Engineering,53042.27,29
684,Mohammed,Engineering,68450.25,36
701,Mohammed,Marketing,64574.89,33
704,Alex,Sales,79895.76,32
706,Amina,Sales,53824.58,23
718,Mariam,Finance,60753.39,30
733,Mariam,Sales,60870.42,32
740,Hiba,Marketing,76121.90,32
746,Mohammed,Finance,62075.42,24
754,Yassine,Engineering,59573.13,33
774,Aicha,Finance,52922.73,32
788,Aicha,HR,76800.35,24
